Category,iPhone,YOY growth,quarter,year
Q2/07,0.141,,Q2,07
Q3/07,0.489,,Q3,07
Q4/07,1.036,,Q4,07
Q1/08,0.817,,Q1,08
Q2/08,0.483,242.55,Q2,08
Q3/08,4.406,801.02,Q3,08
Q4/08,2.94,183.78,Q4,08
Q1/09,2.427,197.06,Q1,09
Q2/09,3.06,533.54,Q2,09
Q3/09,4.606,4.54,Q3,09
Q4/09,5.578,89.73,Q4,09
Q1/10,5.445,124.35,Q1,10
Q2/10,5.334,74.31,Q2,10
Q3/10,8.822,91.53,Q3,10
Q4/10,10.239,83.56,Q4,10
Q1/11,12.053,121.36,Q1,11
Q2/11,13.102,145.63,Q2,11
Q3/11,10.604,20.2,Q3,11
Q4/11,23.95,133.91,Q4,11
Q1/12,22.276,84.82,Q1,12
Q2/12,15.821,20.75,Q2,12
Q3/12,16.645,56.97,Q3,12
Q4/12,30.66,28.02,Q4,12
Q1/13,22.955,3.05,Q1,13
Q2/13,18.154,14.75,Q2,13
Q3/13,19.51,17.21,Q3,13
Q4/13,32.498,5.99,Q4,13
Q1/14,26.064,13.54,Q1,14
Q2/14,19.751,8.8,Q2,14
Q3/14,23.678,21.36,Q3,14
Q4/14,51.182,57.49,Q4,14
Q1/15,40.282,54.55,Q1,15
Q2/15,31.368,58.82,Q2,15
Q3/15,32.209,36.03,Q3,15
Q4/15,51.635,0.89,Q4,15
Q1/16,32.857,-18.43,Q1,16
Q2/16,24.048,-23.34,Q2,16
Q3/16,28.16,-12.57,Q3,16
Q4/16,54.378,5.31,Q4,16
Q1/17,33.249,1.19,Q1,17
Q2/17,24.846,3.32,Q2,17
Q3/17,28.846,2.44,Q3,17
Q4/17,61.104,12.37,Q4,17
Q1/18,37.559,12.96,Q1,18
Q2/18,29.47,18.61,Q2,18
Q3/18,36.755,27.42,Q3,18
Q4/18,51.982,-14.93,Q4,18
Q1/19,31.051,-17.33,Q1,19
Q2/19,25.986,-11.82,Q2,19
Q3/19,33.362,-9.23,Q3,19
Q4/19,55.957,7.65,Q4,19
