iPhone,YOY growth,iPhone,YOY growth
0.141,,0.27,
0.489,,1.119,
1.036,,2.315,
0.8170000000000001,,1.703,
0.483,242.55,0.7170000000000001,165.56
4.406000000000001,801.02,6.892,515.91
2.94,183.78,4.363,88.47
2.427,197.06,3.793,122.72
3.06,533.54,5.207999999999999,626.36
4.606,4.54,7.367000000000001,6.89
5.577999999999999,89.73,8.737,100.25
5.445,124.35,8.752,130.74
5.334,74.31,8.398,61.25
8.822000000000001,91.53,14.102,91.42
10.238999999999999,83.56,16.235,85.82
12.052999999999999,121.36,18.647000000000002,113.06
13.102,145.63,20.338,142.18
10.604000000000001,20.2,17.073,21.07
23.95,133.91,37.044000000000004,128.17
22.276,84.82,35.064,88.04
15.821,20.75,26.028000000000002,27.98
16.645,56.97,26.91,57.62
30.66,28.02,47.788999999999994,29.01
22.955,3.05,37.43,6.75
18.154,14.75,31.241,20.03
19.51,17.21,33.797,25.59
32.498000000000005,5.99,51.025,6.77
26.064,13.54,43.718999999999994,16.8
19.750999999999998,8.8,35.203,12.68
23.678,21.36,39.272,16.2
51.181999999999995,57.49,74.468,45.94
40.282,54.55,61.17,39.92
31.368000000000002,58.82,47.534,35.03
32.209,36.03,48.04600000000001,22.34
51.635,0.89,74.779,0.42
32.857,-18.43,51.193000000000005,-16.31
24.048000000000002,-23.34,40.399,-15.01
28.16,-12.57,45.513000000000005,-5.27
54.378,5.31,78.29,4.7
33.249,1.19,50.763000000000005,-0.84
24.846,3.32,41.026,1.55
28.846,2.44,46.677,2.56
61.104,12.37,77.316,-1.24
37.559,12.96,52.217,2.86
29.47,18.61,41.3,0.67
36.755,27.42,46.888999999999996,0.45
51.982,-14.93,,
31.051,-17.33,,
25.986,-11.82,,
33.361999999999995,-9.23,,
55.957,7.65,,
