iPhone,YOY growth
0.8170000000000001,
2.427,197.06
5.445,124.35
12.052999999999999,121.36
22.276,84.82
22.955,3.05
26.064,13.54
40.282,54.55
32.857,-18.43
33.249,1.19
37.559,12.96
31.051,-17.33
0.141,
0.483,242.55
3.06,533.54
5.334,74.31
13.102,145.63
15.821,20.75
18.154,14.75
19.750999999999998,8.8
31.368000000000002,58.82
24.048000000000002,-23.34
24.846,3.32
29.47,18.61
25.986,-11.82
0.489,
4.406000000000001,801.02
4.606,4.54
8.822000000000001,91.53
10.604000000000001,20.2
16.645,56.97
19.51,17.21
23.678,21.36
32.209,36.03
28.16,-12.57
28.846,2.44
36.755,27.42
33.361999999999995,-9.23
1.036,
2.94,183.78
5.577999999999999,89.73
10.238999999999999,83.56
23.95,133.91
30.66,28.02
32.498000000000005,5.99
51.181999999999995,57.49
51.635,0.89
54.378,5.31
61.104,12.37
51.982,-14.93
55.957,7.65
1.703,
3.793,122.72
8.752,130.74
18.647000000000002,113.06
35.064,88.04
37.43,6.75
43.718999999999994,16.8
61.17,39.92
51.193000000000005,-16.31
50.763000000000005,-0.84
52.217,2.86
0.27,
0.7170000000000001,165.56
5.207999999999999,626.36
8.398,61.25
20.338,142.18
26.028000000000002,27.98
31.241,20.03
35.203,12.68
47.534,35.03
40.399,-15.01
41.026,1.55
41.3,0.67
1.119,
6.892,515.91
7.367000000000001,6.89
14.102,91.42
17.073,21.07
26.91,57.62
33.797,25.59
39.272,16.2
48.04600000000001,22.34
45.513000000000005,-5.27
46.677,2.56
46.888999999999996,0.45
2.315,
4.363,88.47
8.737,100.25
16.235,85.82
37.044000000000004,128.17
47.788999999999994,29.01
51.025,6.77
74.468,45.94
74.779,0.42
78.29,4.7
77.316,-1.24
